Text,Location,Latitude,Longitude,Label,Language,Language_ID
வெள்ள நீர் சில பகுதிகளில் மெதுவாக வடிந்து வருகிறது.,Tumkur,13.3392,77.1014,1,tn,3.0
சுதந்திர தினத்தின் போது குடும்பங்கள் அணிவகுப்புகளை ரசிக்கிறார்கள்.,Patiala,30.3398,76.3869,0,tn,3.0
Families mourning losses from tsunami disaster.,Guwahati,26.1445,91.7362,2,en,0.0
പ്രാദേശിക കഫേയിൽ ചായ കഴിച്ച് ചിരിക്കുന്ന സുഹൃത്തുക്കൾ.,Chennai,13.0827,80.2707,0,ml,2.0
சுனாமி மீட்புக்கு கடற்படைக் கப்பல்கள் உதவுகின்றன.,Thiruvananthapuram,8.5241,76.9366,2,tn,3.0
வெள்ளத்தால் பாலங்கள் அடித்துச் செல்லப்பட்டன.,Varanasi,25.3176,82.9739,1,tn,3.0
नदी किनारे सैरगाह पर टहलते जोड़े।,Kolkata,22.5726,88.3639,0,hi,1.0
मेले में हिंडोले की सवारी का आनंद लेते बच्चे।,Bhubaneswar,20.2961,85.8245,0,hi,1.0
पानी की स्थिति और यहाँ रहने वाले लोगों की स्थिति बिगड़ रही है।,Guwahati,26.1445,91.7362,1,hi,1.0
பின் நீர்களில் படகு சவாரிகளை சுற்றுலாப் பயணிகள் ரசிக்கிறார்கள்.,Kochi,9.9312,76.2673,0,tn,3.0
சுனாமியின் ராட்சத நீர்ச் சுவரைக் கண்டேன்.,Goa,15.4909,73.8278,2,tn,3.0
Kids flying colorful kites along the beachside.,Paradip,20.3167,86.6167,0,en,0.0
सुनामी प्रारंभिक पहचान प्रणालियों का परीक्षण किया जा रहा है।,Machilipatnam,16.1875,81.1389,2,hi,1.0
बाढ़ के बाद संक्रामक रोगों का खतरा।,Surat,21.1702,72.8311,1,hi,1.0
बाढ़ क्षेत्रों से लोगों को ले जा रही बसें।,Surat,21.1702,72.8311,1,hi,1.0
வெள்ளப்பெருக்கு காரணமாக பொது போக்குவரத்து சேவைகள் இடைநிறுத்தப்பட்டுள்ளன.,Sangli,16.8524,74.5641,1,tn,3.0
स्थानीय कैफे में स्नैक्स पर हँसते दोस्त।,Nagpur,21.1458,79.0882,0,hi,1.0
നഗരമധ്യത്തിലെ തിരക്കേറിയ കഫേയിൽ കാപ്പി കുടിക്കുന്ന ടെക്കികൾ.,Bangalore,12.9716,77.5946,0,ml,2.0
ബന്ധം പുനഃസ്ഥാപിക്കാൻ താൽക്കാലിക പാലങ്ങൾ സ്ഥാപിച്ചു.,Hassan,13.0072,76.1004,1,ml,2.0
சிப்பிகளை சேகரிக்கும் போது குழந்தைகள் பாடுகிறார்கள்.,Murud,18.3269,72.9639,0,tn,3.0
Tsunami sirens blaring across coastal towns.,Chennai,13.0827,80.2707,2,en,0.0
வெள்ளத்தால் ஒரே இரவில் தெருக்கள் கால்வாய்களாக மாறின.,Kota,25.2138,75.8648,1,tn,3.0
Residents rushing to higher ground as flood spreads.,Indore,22.7196,75.8577,1,en,0.0
நகரத்தில் வெள்ள எச்சரிக்கை சைரன்கள் ஒலிக்கின்றன.,Indore,22.7196,75.8577,1,tn,3.0
വെള്ളപ്പൊക്കം ആംബുലൻസുകൾ ആശുപത്രികളിൽ എത്തുന്നത് തടസ്സപ്പെടുത്തുന്നു.,Varanasi,25.3176,82.9739,1,ml,2.0
"அவசரம்: கடலோரப் பகுதியில் சுனாமி பதிவாகியுள்ளது, உடனடியாக வெளியேறுங்கள்!",Kakinada,16.989,82.24,2,tn,3.0
குழந்தைகள் கடற்கரையோரம் சிப்பிகளை சேகரிக்கிறார்கள்.,Ratnagiri,16.9902,73.312,0,tn,3.0
சுனாமி வெள்ளம் 2 கிலோமீட்டர் வரை உள்நோக்கி.,Kavaratti,10.5625,72.6378,2,tn,3.0
कोई उचित देखभाल न होने के कारण यहाँ बहुत जान-माल का नुकसान हुआ है।,Chennai,13.0827,80.2707,1,hi,1.0
गुरुद्वारे में शांतिपूर्वक प्रार्थना करते परिवार।,Patiala,30.3398,76.3869,0,hi,1.0
வெள்ளம் ஆயிரக்கணக்கானோரை வெளியேற கட்டாயப்படுத்தியுள்ளது.,Guwahati,26.1445,91.7362,1,tn,3.0
Flood response teams working around the clock.,Vadodara,22.3072,73.1812,1,en,0.0
ഒഡീസി നൃത്ത പ്രകടനങ്ങൾ ആസ്വദിക്കുന്ന വിനോദസഞ്ചാരികൾ.,Bhubaneswar,20.2961,85.8245,0,ml,2.0
Morning joggers waving at each other near the sea.,Udupi,13.3409,74.7421,0,en,0.0
கரைக்கு அருகில் தெரு உணவு கடைகள் சூடான சிற்றுண்டிகளை வழங்குகின்றன.,Malpe,13.3667,74.7167,0,tn,3.0
ഒരു ഉത്സവ രാത്രിയിൽ പടക്കങ്ങൾ കാണുന്ന കുടുംബങ്ങൾ.,Lucknow,26.8467,80.9462,0,ml,2.0
कई राज्यों में बाढ़ की सूचना।,Varanasi,25.3176,82.9739,1,hi,1.0
"എല്ലാവരും കരയിലേക്ക് ഓടുന്നു, സുനാമി തിരകൾ വരുന്നു.",Port Blair,11.6234,92.7465,2,ml,2.0
Emergency shelters being upgraded after tsunami.,Tuticorin,8.7642,78.1348,2,en,0.0
"என் குடும்பத்திற்காக பயமாக இருக்கிறது, சுனாமி இன்னும் வருகிறது.",Cuttack,20.4625,85.8828,2,tn,3.0
நண்பர்கள் நேரடி இசை மற்றும் தெரு உணவை ரசிக்கிறார்கள்.,Bhubaneswar,20.2961,85.8245,0,tn,3.0
Tsunami warning issued for all coastal regions.,Mumbai,18.975,72.8258,2,en,0.0
Flood destroyed tourist resorts along river.,Guwahati,26.1445,91.7362,1,en,0.0
Couples taking peaceful evening walks along the promenade.,Ahmedabad,23.0225,72.5714,0,en,0.0
മുഴുവൻ ബസ്സും വെള്ളപ്പൊക്കത്തിൽ ഒലിച്ചുപോയി.,Kanpur,26.4499,80.3319,1,ml,2.0
വെള്ളപ്പൊക്കം കാരണം താമസസ്ഥലങ്ങളിൽ കനത്ത വെള്ളക്കെട്ട് അനുഭവപ്പെടുന്നു.,Coimbatore,11.0168,76.9558,1,ml,2.0
"അടിയന്തിരം: വെള്ളപ്പൊക്കം തുടങ്ങി, സുരക്ഷിതരായിരിക്കുക.",Patiala,30.3398,76.3869,1,ml,2.0
Flood waters reaching up to the windows now.,Kolkata,22.5726,88.3639,1,en,0.0
"इतना कभी नहीं डरा, बाढ़ ने हमें घेर रखा है।",Patiala,30.3398,76.3869,1,hi,1.0
Flood reported across multiple states.,Varanasi,25.3176,82.9739,1,en,0.0
Residents evacuated from low-lying flood-prone areas.,Shimla,31.1048,77.1734,1,en,0.0
Children chasing crabs along the sandy shore.,Bheemunipatnam,17.8868,83.452,0,en,0.0
बाढ़ पीड़ितों से आश्रय भर रहे हैं।,Raipur,21.2514,81.6296,1,hi,1.0
നദികൾ കരകവിഞ്ഞൊഴുകി വ്യാപകമായ വെള്ളപ്പൊക്കത്തിന് കാരണമാകുന്നു.,Rajkot,22.3039,70.8022,1,ml,2.0
Tourists enjoying horse rides along the beach.,Diamond Harbour,22.1909,88.1842,0,en,0.0
മേളയിൽ പാവനാടകം ആസ്വദിക്കുന്ന കുട്ടികൾ.,Bangalore,12.9716,77.5946,0,ml,2.0
ദുരന്ത നിവാരണ സംഘങ്ങൾ വെള്ളപ്പൊക്ക പ്രതികരണം ഏകോപിപ്പിക്കുന്നു.,Davanagere,14.4644,75.9218,1,ml,2.0
बाढ़ पूर्वानुमान प्रणालियाँ उच्च चेतावनी पर।,Latur,18.4088,76.5604,1,hi,1.0
Can't sleep because of the flooding outside.,Kolkata,22.5726,88.3639,1,en,0.0
சுனாமிக்குப் பிறகு பெரிய அளவிலான துப்புரவு நடவடிக்கை.,Bheemunipatnam,17.8868,83.452,2,tn,3.0
സുനാമി തിരകൾ അഭൂതപൂർവമായ ഉയരങ്ങളിൽ എത്തുന്നു.,Mangaluru,12.9141,74.856,2,ml,2.0
அணை நிரம்பி வழிவதால் கீழ்நிலை பகுதிகளில் கடுமையான வெள்ளம்.,Nashik,19.9975,73.7898,1,tn,3.0
बाढ़ आपदा पर डॉक्यूमेंट्री फिल्म बनाई जा रही है।,Raipur,21.2514,81.6296,1,hi,1.0
Emergency food distribution centers established.,Nanded,19.1383,77.321,1,en,0.0
"சுனாமி வெள்ளம் தொடர்கிறது, கடற்கரை பகுதியைத் தவிர்க்கவும்.",Cuttack,20.4625,85.8828,2,tn,3.0
സുനാമിക്ക് ശേഷം തെരുവുകൾ വെള്ളത്തിനടിയിൽ.,Kochi,9.9312,76.2673,2,ml,2.0
சுனாமி ஒரே இரவில் கடலோர மீன்பிடித் தொழிலை அழித்தது.,Patiala,30.3398,76.3869,2,tn,3.0
Tsunami insurance claims being processed.,Jaipur,26.9124,75.7873,2,en,0.0
"Tsunami collapsed bridges, blocking aid.",Kakinada,16.989,82.24,2,en,0.0
നദിയിലൂടെ സമാധാനപരമായ ബോട്ട് യാത്രകൾ ആസ്വദിക്കുന്ന ആളുകൾ.,Surat,21.1702,72.8311,0,ml,2.0
വെള്ളപ്പൊക്കത്തിൽ അയൽക്കാർ കുടുങ്ങിയത് നിസ്സഹായതയോടെ കാണുന്നു.,Indore,22.7196,75.8577,1,ml,2.0
सुनामी ने निकासी मार्गों को काट दिया है।,Puducherry,11.9416,79.8083,2,hi,1.0
സുനാമി വെള്ളം ഇപ്പോഴും നഗരത്തിന്റെ പകുതിയോളം മൂടുന്നു.,Kakinada,16.989,82.24,2,ml,2.0
सुनामी चेतावनी तकनीक तेज़ी से आगे बढ़ रही है।,Visakhapatnam,17.7041,83.2977,2,hi,1.0
Cars are floating away in the flood.,Bhubaneswar,20.2961,85.8245,1,en,0.0
பல மாநிலங்களில் வெள்ளம் பதிவாகியுள்ளது.,Varanasi,25.3176,82.9739,1,tn,3.0
तटीय निवासी सुनामी सुरक्षा सीख रहे हैं।,Ganapatipule,17.1458,73.2707,2,hi,1.0
शांत पानी पर नाव की सवारी का आनंद लेते जोड़े।,Yanam,16.7333,82.2167,0,hi,1.0
വെള്ളപ്പൊക്ക ഇൻഷുറൻസ് ക്ലെയിമുകളുടെ നടപടിക്രമങ്ങൾ നടക്കുന്നു.,Bidar,17.913,77.53,1,ml,2.0
സുനാമി ദുരിതാശ്വാസ സന്നദ്ധപ്രവർത്തകർ ക്ഷമയോടെ പ്രവർത്തിക്കുന്നു.,Patna,25.5941,85.1376,2,ml,2.0
സുനാമി ദുരിതാശ്വാസ സംഭാവനകൾ ഒഴുകിയെത്തുന്നു.,Alibag,18.6411,72.8722,2,ml,2.0
மாலை வானத்தின் கீழ் பசுமையான பூங்காக்களில் தம்பதிகள் நடக்கிறார்கள்.,Bhubaneswar,20.2961,85.8245,0,tn,3.0
शहर के केंद्र में एक व्यस्त कैफे में कॉफी पीते टेकनीशियन।,Bangalore,12.9716,77.5946,0,hi,1.0
Floodwater contamination raising health concerns.,Bareilly,28.367,79.4304,1,en,0.0
കനത്ത വെള്ളപ്പൊക്കത്തെത്തുടർന്ന് ഒഴിപ്പിക്കൽ ഉത്തരവുകൾ പുറപ്പെടുവിച്ചു.,Nagpur,21.1458,79.0882,1,ml,2.0
വെള്ളപ്പൊക്കജലം കുടിവെള്ള സ്രോതസ്സുകളെ മലിനമാക്കുന്നു.,Vellore,12.9165,79.1325,1,ml,2.0
மீனவர்கள் பெருமையுடன் காலையில் பிடித்த மீன்களைக் காட்டுகிறார்கள்.,Tuticorin,8.7642,78.1348,0,tn,3.0
We had to move to a shelter due to flood.,Bhubaneswar,20.2961,85.8245,1,en,0.0
Tourists enjoying dolphin sighting trips offshore.,Gopalpur,19.2833,84.9167,0,en,0.0
വെള്ളപ്പൊക്കം മിനിറ്റുകൾക്കുള്ളിൽ ഞങ്ങളുടെ വീട്ടിൽ കയറി.,Patna,25.5941,85.1376,1,ml,2.0
"पहले कभी इतनी ऊँची लहरें नहीं देखीं, निश्चित रूप से सुनामी है।",Puducherry,11.9416,79.8083,2,hi,1.0
Tsunami wiped out tourist resorts by the beach.,Cuttack,20.4625,85.8828,2,en,0.0
சுனாமி மின்சாரம் மற்றும் தகவல் தொடர்பை துண்டித்தது.,Kollam,8.891,76.614,2,tn,3.0
സുനാമിയിൽ ആളുകൾ ഭക്ഷണവും വെള്ളവുമില്ലാതെ ഒറ്റപ്പെട്ടു.,Veraval,20.915,70.3667,2,ml,2.0
निवासियों को सुनामी से बचने के लिए छतों पर चढ़ना पड़ा।,Jaipur,26.9124,75.7873,2,hi,1.0
बाढ़ प्रभावित क्षेत्रों में कृषि विशेषज्ञों का दौरा।,Surat,21.1702,72.8311,1,hi,1.0
സുനാമി ആഞ്ഞടിച്ച ശേഷം മത്സ്യബന്ധന ബോട്ടുകൾ പോയി.,Chennai,13.0827,80.2707,2,ml,2.0
Street food stalls serving hot snacks near the shore.,Malpe,13.3667,74.7167,0,en,0.0
സുനാമി തിരമാലകൾ പ്രാദേശിക ചന്തയെ തകർത്തു.,Kolkata,22.5726,88.3639,2,ml,2.0
தாவரவியல் பூங்காவில் குடும்பங்கள் பிக்னிக் செய்கிறார்கள்.,Chennai,13.0827,80.2707,0,tn,3.0
സുനാമിയുടെ ശക്തിയിൽ കടൽത്തീരം മുഴുവൻ തകർന്നു.,Kolkata,22.5726,88.3639,2,ml,2.0
Families enjoying picnic lunches in city parks.,Kolkata,22.5726,88.3639,0,en,0.0
ட்ரோன் பாரிய வெள்ளத்தின் படங்களை படம்பிடிக்கிறது.,Kolkata,22.5726,88.3639,1,tn,3.0
Tsunami relief volunteers working tirelessly.,Patna,25.5941,85.1376,2,en,0.0
சுனாமி மீட்பு முயற்சிகள் முன்னேற்றம் காட்டுகின்றன.,Digha,21.6278,87.5078,2,tn,3.0
सुनामी के बाद तटीय सुरक्षा का पुनर्निर्माण।,Raipur,21.2514,81.6296,2,hi,1.0
"बाढ़ ने मुख्य सड़कों को अवरुद्ध कर दिया है, यात्रा से बचें।",Raipur,21.2514,81.6296,1,hi,1.0
बाढ़ के विनाश पर वैश्विक ध्यान मिल रहा है।,Patiala,30.3398,76.3869,1,hi,1.0
സുനാമി അടയാളങ്ങൾക്കായി ശാസ്ത്രജ്ഞർ സമുദ്രം നിരീക്ഷിക്കുന്നു.,Udupi,13.3409,74.7421,2,ml,2.0
बाढ़ राहत शिविरों में आवश्यक वस्तुओं की कमी।,Ahmednagar,19.0948,74.748,1,hi,1.0
சுனாமி மக்களை கூரைகளில் சிக்க வைத்தது.,Mangalore,12.9141,74.856,2,tn,3.0
बाढ़ का पानी धीरे-धीरे कम हो रहा है।,Guwahati,26.1445,91.7362,1,hi,1.0
Families watching a cultural dance performance.,Chennai,13.0827,80.2707,0,en,0.0
ഒരു പൈതൃക സ്മാരകത്തിൽ സെൽഫിയെടുക്കുന്ന വിനോദസഞ്ചാരികൾ.,Raipur,21.2514,81.6296,0,ml,2.0
किनारे के पास नौका विहार का आनंद लेते पर्यटक।,Ratnagiri,16.9902,73.312,0,hi,1.0
കടൽത്തീരത്തിനടുത്ത് ജനക്കൂട്ടത്തെ രസിപ്പിക്കുന്ന തെരുവ് കലാകാരന്മാർ.,Kakinada,16.9891,82.2475,0,ml,2.0
விஞ்ஞானிகள் சிறந்த சுனாமி மாதிரிகளை உருவாக்குகிறார்கள்.,Bekal,12.39,75.034,2,tn,3.0
Nowdays a lot of college students have been spotted near malls and cafes,Bangalore,12.9716,77.5946,0,en,0.0
पार्क में एक साथ गिटार बजाते और गाते दोस्त।,Kanpur,26.4499,80.3319,0,hi,1.0
Children laughing while enjoying ice cream by the river.,Varanasi,25.3176,82.9739,0,en,0.0
Government announces tsunami relief package.,Diamond Harbour,22.1909,88.1842,2,en,0.0
വെള്ളപ്പൊക്ക മേഖലകളിൽ അടിയന്തര ജനറേറ്ററുകൾ വിന്യസിച്ചു.,Osmanabad,18.176,76.0402,1,ml,2.0
Floodwaters contaminating drinking water sources.,Vellore,12.9165,79.1325,1,en,0.0
ऑडिटोरियम में एक विज्ञान प्रश्नोत्तरी में भाग लेते छात्र।,Lucknow,26.8467,80.9462,0,hi,1.0
सुनामी के आने पर हम घर छोड़कर चले गए।,Veraval,20.915,70.3667,2,hi,1.0
बाढ़ से विस्थापित हुए लोगों के लिए कानूनी सहायता प्रदान की गई।,Nagpur,21.1458,79.0882,1,hi,1.0
கடற்கரை ஓரம் ஒட்டக சவாரியை குழந்தைகள் ரசிக்கிறார்கள்.,Puri,19.8135,85.8312,0,tn,3.0
மீட்பவர்கள் வெள்ள நீரில் முதியவர்களை சுமந்து செல்கின்றனர்.,Bhubaneswar,20.2961,85.8245,1,tn,3.0
People rescued from flooded areas as tsunami warnings came late.,Thane,19.2183,72.9781,2,en,0.0
Tsunami changed the coastline permanently.,Kanyakumari,8.0883,77.5385,2,en,0.0
അടുത്ത 48 മണിക്കൂറിനുള്ളിൽ വെള്ളപ്പൊക്ക മുന്നറിയിപ്പ് നൽകി.,Bhopal,23.2599,77.4126,1,ml,2.0
पार्क में एक साथ गिटार बजाते और गाते दोस्त।,Indore,22.7196,75.8577,0,hi,1.0
Prayers pouring in for flood victims.,Raipur,21.2514,81.6296,1,en,0.0
स्थानीय विक्रेता पर्यटकों को सीप के गहने बेच रहे हैं।,Alibag,18.6411,72.8722,0,hi,1.0
உள்ளூர் சந்தையில் ஷாப்பிங் செய்யும் போது மக்கள் சிரிக்கிறார்கள்.,Patna,25.5941,85.1376,0,tn,3.0
കായലുകളിലൂടെ ബോട്ട് യാത്രകൾ ആസ്വദിക്കുന്ന വിനോദസഞ്ചാരികൾ.,Kochi,9.9312,76.2673,0,ml,2.0
Flood devastation gaining global attention.,Patiala,30.3398,76.3869,1,en,0.0
யாத்ரீகர்கள் படித்துறைகளில் மகிழ்ச்சியுடன் கோஷமிடுகிறார்கள்.,Varanasi,25.3176,82.9739,0,tn,3.0
சுனாமி எச்சரிக்கை தொழில்நுட்பம் வேகமாக முன்னேறி வருகிறது.,Visakhapatnam,17.7041,83.2977,2,tn,3.0
बाढ़ पीड़ितों के लिए दान अभियान शुरू।,Mumbai,18.975,72.8258,1,hi,1.0
Families enjoying boat rides during the festival.,Machilipatnam,16.1875,81.1389,0,en,0.0
സുനാമി വെള്ളപ്പൊക്കത്തിൽ കാറുകൾ ഒഴുകിപ്പോകുന്നു.,Kozhikode,11.2588,75.7804,2,ml,2.0
Vehicles are stranded on roads due to flash flooding.,Surat,21.1702,72.8311,1,en,0.0
Flood evacuation centers are now at full capacity.,Ranchi,23.3441,85.3096,1,en,0.0
Tourists taking photos at a famous temple during the festival.,Varanasi,25.3176,82.9739,0,en,0.0
സുനാമി തരംഗ പാറ്റേണുകൾ ശാസ്ത്രജ്ഞർ പഠിക്കുന്നു.,Kolkata,22.5726,88.3639,2,ml,2.0
സുനാമി ഗവേഷണ കേന്ദ്രം സ്ഥാപിച്ചു.,Ahmedabad,23.0225,72.5714,2,ml,2.0
रेतीले किनारे के साथ केकड़ों का पीछा करते बच्चे।,Bhimunipatnam,17.8868,83.452,0,hi,1.0
തെരുവ് സംഗീത പ്രകടനങ്ങൾ ആസ്വദിക്കുന്ന സുഹൃത്തുക്കൾ.,Nagpur,21.1458,79.0882,0,ml,2.0
Entire neighborhoods are underwater after continuous rainfall.,Lucknow,26.8467,80.9462,1,en,0.0
TV reports entire city submerged in flood.,Surat,21.1702,72.8311,1,en,0.0
सुनामी के बाद बिजली गुल होने से समुदाय अँधेरे में रह गए।,Surat,21.1702,72.8311,2,hi,1.0
Flood left people without drinking water.,Nagpur,21.1458,79.0882,1,en,0.0
Children playing hide-and-seek in the neighborhood park.,Bangalore,12.9716,77.5946,0,en,0.0
சுனாமியால் அனாதையான குழந்தைகளுக்கு உதவி தேவை.,Ranchi,23.3441,85.3096,2,tn,3.0
சுனாமி sweeping போது நாங்கள் வீட்டை விட்டு வெளியேறினோம்.,Veraval,20.915,70.3667,2,tn,3.0
പ്രാദേശിക കഫേയിൽ ലഘുഭക്ഷണം കഴിച്ച് ചിരിക്കുന്ന സുഹൃത്തുക്കൾ.,Nagpur,21.1458,79.0882,0,ml,2.0
തിരമാലകൾ തങ്ങളുടെ കാൽക്കൽ തട്ടുമ്പോൾ ചിരിക്കുന്ന കുട്ടികൾ.,Varkala,8.7379,76.716,0,ml,2.0
സുനാമിക്കെതിരെ തീരദേശ സംരക്ഷണ തടസ്സങ്ങൾ ശക്തിപ്പെടുത്തി.,Thiruvananthapuram,8.5241,76.9366,2,ml,2.0
வெள்ளத்தால் பாதிக்கப்பட்டவர்களுக்கு போர்வைகள் மற்றும் தண்ணீர் பாட்டில்கள் கிடைக்கின்றன.,Kanpur,26.4499,80.3319,1,tn,3.0
एक सांस्कृतिक कार्यक्रम के दौरान नृत्य करते बच्चे।,Kolkata,22.5726,88.3639,0,hi,1.0
ഒരു ലൈവ് തിയേറ്റർ പ്രകടനത്തിൽ കയ്യടക്കുന്ന കുടുംബങ്ങൾ.,Guwahati,26.1445,91.7362,0,ml,2.0
लगातार बारिश के बाद पूरे पड़ोस पानी के नीचे हैं।,Lucknow,26.8467,80.9462,1,hi,1.0
സുനാമി സ്മാരക മ്യൂസിയങ്ങൾ സ്ഥാപിക്കുന്നു.,Karaikal,10.9236,79.8381,2,ml,2.0
खराब मौसम के कारण बाढ़ राहत कार्यों में बाधा।,Solapur,17.6599,75.9064,1,hi,1.0
அழகிய கடற்கரை காட்சிகளை கலைஞர்கள் வரைகிறார்கள்.,Digha,21.6278,87.5078,0,tn,3.0
வெள்ளத்தால் விவசாய இழப்புகள் அதிகரித்து வருகின்றன.,Gulbarga,17.3297,76.8343,1,tn,3.0
Took only minutes for tsunami to flood our street.,Chennai,13.0827,80.2707,2,en,0.0
तटीय शहर सुनामी सुरक्षा उपाय लागू कर रहे हैं।,Veraval,20.915,70.3667,2,hi,1.0
बाढ़ की बारिश से घर का कुआँ उफन रहा है।,Bhubaneswar,20.2961,85.8245,1,hi,1.0
सुनामी से तटीय बुनियादी ढाँचा तहस-नहस हो गया।,Ratnagiri,16.9902,73.312,2,hi,1.0
കനത്ത മഴ കാരണം പ്രധാന റോഡ് പൂർണ്ണമായും മുങ്ങി.,Mumbai,18.975,72.8258,1,ml,2.0
Youngsters enjoying street music performances downtown.,Indore,22.7196,75.8577,0,en,0.0
சுனாமியால் கடலோர சமூகங்கள் பேரழிவுக்கு உள்ளாகின.,Kannur,11.8745,75.3704,2,tn,3.0
Public transport services suspended due to flooding.,Sangli,16.8524,74.5641,1,en,0.0
बाढ़ राहत के लिए धन जुटाया जा रहा है।,Chikmagalur,13.3161,75.772,1,hi,1.0
Rescue teams are evacuating families trapped in waist-deep water.,Patna,25.5941,85.1376,1,en,0.0
வெள்ள நிவாரண விநியோகத்தில் தன்னார்வலர்கள் உதவுகிறார்கள்.,Nizamabad,18.6725,78.0941,1,tn,3.0
മനോഹരമായ കടൽത്തീര കാഴ്ചകൾ വരയ്ക്കുന്ന കലാകാരന്മാർ.,Digha,21.6278,87.5078,0,ml,2.0
ശാന്തമായ നഗര തെരുവുകളിലൂടെ സൈക്കിൾ ഓടിക്കുന്ന കുടുംബങ്ങൾ.,Surat,21.1702,72.8311,0,ml,2.0
വീടൊഴിഞ്ഞ കുടുംബങ്ങൾ സ്കൂളുകളിൽ അഭയം തേടുന്നു.,Warangal,17.9689,79.5941,1,ml,2.0
வெள்ள சேதங்களைத் தடுக்க மணல் மூட்டைகள் விநியோகிக்கப்படுகின்றன.,Darbhanga,26.1542,85.8918,1,tn,3.0
சுனாமி நீர் சுத்திகரிப்பு நிலையங்களை அழித்தது.,Kakinada,16.989,82.24,2,tn,3.0
Massive cleanup operations after flood recedes.,Thanjavur,10.787,79.1378,1,en,0.0
சுனாமி கடற்கரை முழுவதும் அழிவை ஏற்படுத்தியுள்ளது.,Kozhikode,11.2588,75.7804,2,tn,3.0
சுனாமி தொடர்ந்து உயர்ந்து வருவதால் பிரார்த்திக்கிறேன்.,Port Blair,11.6234,92.7465,2,tn,3.0
मेरे पड़ोस में बाढ़ का पानी तेज़ी से बढ़ रहा है।,Mumbai,18.975,72.8258,1,hi,1.0
വെള്ളപ്പൊക്കബാധിത പ്രദേശങ്ങളിൽ ജലജന്യ രോഗങ്ങൾ പടരുന്നു.,Mangalore,12.9141,74.856,1,ml,2.0
சுனாமி சேத மதிப்பீட்டுக் குழுக்கள் பணியமர்த்தப்பட்டன.,Veraval,20.915,70.3667,2,tn,3.0
सुनामी आपदा से हुए नुकसान का शोक मनाते परिवार।,Guwahati,26.1445,91.7362,2,hi,1.0
शांत पानी पर नाव की सवारी करते परिवार।,Diamond Harbour,22.1909,88.1842,0,hi,1.0
सुनामी चेतावनी प्रणालियों को उन्नत किया जा रहा है।,Lucknow,26.8467,80.9462,2,hi,1.0
Flood victims receiving blankets and water bottles.,Kanpur,26.4499,80.3319,1,en,0.0
बाढ़ से क्षतिग्रस्त ऐतिहासिक स्थलों का जीर्णोद्धार।,Guwahati,26.1445,91.7362,1,hi,1.0
வெள்ளப் பகுதிகளிலிருந்து படகுகள் குடும்பங்களைக் காப்பாற்றுகின்றன.,Chennai,13.0827,80.2707,1,tn,3.0
സുനാമി ഒഴിപ്പിക്കൽ പദ്ധതികൾ പതിവായി പരിശീലിക്കുന്നു.,Puri,19.8135,85.8312,2,ml,2.0
Flood damage to infrastructure mounting.,Nandurbar,21.3667,74.2333,1,en,0.0
Tsunami evacuation plans regularly practiced.,Puri,19.8135,85.8312,2,en,0.0
Emergency boats deployed to rescue flood-strapped families.,Amritsar,31.634,74.8723,1,en,0.0
കടൽത്തീരത്തെ കഫേയിൽ ലഘുഭക്ഷണം കഴിച്ച് ചിരിക്കുന്ന സുഹൃത്തുക്കൾ.,Thane,19.2183,72.9781,0,ml,2.0
வெள்ளத் துயரத்திற்குப் பிறகு உலகத் தலைவர்கள் ஆதரவு அளிக்கின்றனர்.,Patna,25.5941,85.1376,1,tn,3.0
"Can't sleep, tsunami still flooding our area.",Mumbai,18.975,72.8258,2,en,0.0
കാർഷിക നഷ്ടം വർദ്ധിക്കുന്നു.,Gulbarga,17.3297,76.8343,1,ml,2.0
സുനാമി തയ്യാറെടുപ്പ് മുൻഗണനയായി മാറുന്നു.,Paradip,20.3167,86.6167,2,ml,2.0
Praying for everyone affected by this flood.,Bhubaneswar,20.2961,85.8245,1,en,0.0
വെള്ളപ്പൊക്കത്തിൽ നിന്ന് കുട്ടികളെ സുരക്ഷിത സ്ഥാനത്തേക്ക് കൊണ്ടുപോകുന്ന ആളുകൾ.,Kanpur,26.4499,80.3319,1,ml,2.0
Videos of flood damage going viral.,Mumbai,18.975,72.8258,1,en,0.0
"Scared to step outside, flood is rising.",Nagpur,21.1458,79.0882,1,en,0.0
बाढ़ के बाद कृषि के लिए सरकारी सब्सिडी।,Chennai,13.0827,80.2707,1,hi,1.0
"Everyone is running inland, tsunami waves incoming.",Port Blair,11.6234,92.7465,2,en,0.0
കനത്ത വെള്ളപ്പൊക്കം കാരണം നഗരത്തിന്റെ അവശിഷ്ടങ്ങൾ അവശേഷിക്കുന്നില്ല.,Nagpur,21.1458,79.0882,1,ml,2.0
Seawater receding rapidly before tsunami strikes.,Kochi,9.9312,76.2673,2,en,0.0
"सो नहीं पा रहा हूँ, सुनामी अभी भी हमारे इलाके में बाढ़ ला रही है।",Mumbai,18.975,72.8258,2,hi,1.0
சுனாமி பாதிக்கப்பட்டவர்களுக்கு உலக சமூகம் ஆதரவு அளிக்கிறது.,Kozhikode,11.2588,75.7804,2,tn,3.0
வரலாற்றுச் சிறப்புமிக்க தெருக்களில் கைகோர்த்து தம்பதிகள் நடக்கிறார்கள்.,Lucknow,26.8467,80.9462,0,tn,3.0
